,법정동코드,지점코드,연도,행정구역,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,다발지역폴리곤
95,1150010600,11500002,2016,강서구,서울특별시 강서구 내발산동(수명중.고교입구 부근),3,3,0,2,0,1,37.5499056,126.8235162,"{""type"":""Polygon"",""coordinates"":[[[126.82531279,37.5499056],[126.82527826,37.54962771],[126.82517603,37.5493605],[126.82501,37.54911423],[126.82478656,37.54889838],[126.82451431,37.54872124],[126.8242037,37.5485896],[126.82386666,37.54850854],[126.82351615,37.54848117],[126.82316565,37.54850854],[126.82282861,37.5485896],[126.822518,37.54872124],[126.82224575,37.54889838],[126.82202231,37.54911423],[126.82185628,37.5493605],[126.82175405,37.54962771],[126.82171952,37.5499056],[126.82175405,37.55018349],[126.82185628,37.55045069],[126.82202231,37.55069695],[126.82224575,37.5509128],[126.822518,37.55108994],[126.82282861,37.55122157],[126.82316565,37.55130262],[126.82351615,37.55132999],[126.82386666,37.55130262],[126.8242037,37.55122157],[126.82451431,37.55108994],[126.82478656,37.5509128],[126.82501,37.55069695],[126.82517603,37.55045069],[126.82527826,37.55018349],[126.82531279,37.5499056]]]}"
96,1154510300,11545001,2016,금천구,서울특별시 금천구 시흥동(은행나무오거리 부근),3,3,0,1,2,0,37.45147006,126.90856090000001,"{""type"":""Polygon"",""coordinates"":[[[126.91035753,37.45147006],[126.910323,37.45119181],[126.91022077,37.45092424],[126.91005474,37.45067765],[126.90983131,37.45046152],[126.90955905,37.45028414],[126.90924844,37.45015233],[126.9089114,37.45007117],[126.9085609,37.45004376],[126.90821039,37.45007117],[126.90787336,37.45015233],[126.90756274,37.45028414],[126.90729049,37.45046152],[126.90706705,37.45067765],[126.90690103,37.45092424],[126.90679879,37.45119181],[126.90676427,37.45147006],[126.90679879,37.45174832],[126.90690103,37.45201588],[126.90706705,37.45226246],[126.90729049,37.45247859],[126.90756274,37.45265597],[126.90787336,37.45278777],[126.90821039,37.45286893],[126.9085609,37.45289634],[126.9089114,37.45286893],[126.90924844,37.45278777],[126.90955905,37.45265597],[126.90983131,37.45247859],[126.91005474,37.45226246],[126.91022077,37.45201588],[126.910323,37.45174832],[126.91035753,37.45147006]]]}"
97,1156012500,11560001,2016,영등포구,서울특별시 영등포구 양평동1가(양평역사거리 부근),3,3,0,0,3,0,37.52558401,126.88731570000002,"{""type"":""Polygon"",""coordinates"":[[[126.8891123,37.52558401],[126.88907778,37.52530603],[126.88897554,37.52503873],[126.88880951,37.52479239],[126.88858608,37.52457647],[126.88831382,37.52439926],[126.88800321,37.52426759],[126.88766617,37.5241865],[126.88731567,37.52415912],[126.88696516,37.5241865],[126.88662813,37.52426759],[126.88631751,37.52439926],[126.88604526,37.52457647],[126.88582183,37.52479239],[126.8856558,37.52503873],[126.88555356,37.52530603],[126.88551904,37.52558401],[126.88555356,37.52586199],[126.8856558,37.52612929],[126.88582183,37.52637562],[126.88604526,37.52659154],[126.88631751,37.52676874],[126.88662813,37.52690041],[126.88696516,37.52698149],[126.88731567,37.52700887],[126.88766617,37.52698149],[126.88800321,37.52690041],[126.88831382,37.52676874],[126.88858608,37.52659154],[126.88880951,37.52637562],[126.88897554,37.52612929],[126.88907778,37.52586199],[126.8891123,37.52558401]]]}"
98,1156013200,11560002,2016,영등포구,서울특별시 영등포구 신길동(청운빌딩 부근),3,3,0,0,3,0,37.50112767,126.9026304,"{""type"":""Polygon"",""coordinates"":[[[126.90442702,37.50112767],[126.9043925,37.5008496],[126.90429026,37.50058221],[126.90412423,37.50033579],[126.9039008,37.5001198],[126.90362855,37.49994253],[126.90331793,37.49981082],[126.9029809,37.4997297],[126.90263039,37.49970232],[126.90227989,37.4997297],[126.90194285,37.49981082],[126.90163224,37.49994253],[126.90135998,37.5001198],[126.90113655,37.50033579],[126.90097052,37.50058221],[126.90086828,37.5008496],[126.90083376,37.50112767],[126.90086828,37.50140574],[126.90097052,37.50167312],[126.90113655,37.50191954],[126.90135998,37.50213553],[126.90163224,37.50231279],[126.90194285,37.5024445],[126.90227989,37.50252561],[126.90263039,37.502553],[126.9029809,37.50252561],[126.90331793,37.5024445],[126.90362855,37.50231279],[126.9039008,37.50213553],[126.90412423,37.50191954],[126.90429026,37.50167312],[126.9043925,37.50140574],[126.90442702,37.50112767]]]}"
99,1159010200,11590001,2016,동작구,서울특별시 동작구 상도동(국민은행 부근),3,3,0,1,1,1,37.49913877,126.9281439,"{""type"":""Polygon"",""coordinates"":[[[126.92994055,37.49913877],[126.92990603,37.4988607],[126.92980379,37.4985933],[126.92963776,37.49834687],[126.92941433,37.49813087],[126.92914207,37.4979536],[126.92883146,37.49782188],[126.92849442,37.49774077],[126.92814392,37.49771338],[126.92779341,37.49774077],[126.92745638,37.49782188],[126.92714576,37.4979536],[126.92687351,37.49813087],[126.92665007,37.49834687],[126.92648405,37.4985933],[126.92638181,37.4988607],[126.92634729,37.49913877],[126.92638181,37.49941685],[126.92648405,37.49968424],[126.92665007,37.49993067],[126.92687351,37.50014666],[126.92714576,37.50032392],[126.92745638,37.50045564],[126.92779341,37.50053675],[126.92814392,37.50056414],[126.92849442,37.50053675],[126.92883146,37.50045564],[126.92914207,37.50032392],[126.92941433,37.50014666],[126.92963776,37.49993067],[126.92980379,37.49968424],[126.92990603,37.49941685],[126.92994055,37.49913877]]]}"
100,1162010200,11620001,2016,관악구,서울특별시 관악구 신림동(뿌리약국 부근),3,3,0,1,2,0,37.47424766,126.91857579999999,"{""type"":""Polygon"",""coordinates"":[[[126.92037247,37.47424766],[126.92033795,37.47396949],[126.92023571,37.47370201],[126.92006969,37.4734555],[126.91984625,37.47323942],[126.919574,37.4730621],[126.91926338,37.47293033],[126.91892635,37.47284919],[126.91857584,37.47282179],[126.91822534,37.47284919],[126.9178883,37.47293033],[126.91757769,37.4730621],[126.91730543,37.47323942],[126.917082,37.4734555],[126.91691597,37.47370201],[126.91681374,37.47396949],[126.91677921,37.47424766],[126.91681374,37.47452583],[126.91691597,37.47479331],[126.917082,37.47503982],[126.91730543,37.47525589],[126.91757769,37.47543321],[126.9178883,37.47556497],[126.91822534,37.47564611],[126.91857584,37.4756735],[126.91892635,37.47564611],[126.91926338,37.47556497],[126.919574,37.47543321],[126.91984625,37.47525589],[126.92006969,37.47503982],[126.92023571,37.47479331],[126.92033795,37.47452583],[126.92037247,37.47424766]]]}"
101,1165010200,11650001,2016,서초구,서울특별시 서초구 양재동(금호빌딩 부근),3,3,0,1,1,1,37.47144557,127.0440942,"{""type"":""Polygon"",""coordinates"":[[[127.04589082,37.47144557],[127.0458563,37.47116739],[127.04575406,37.47089989],[127.04558804,37.47065337],[127.0453646,37.47043729],[127.04509235,37.47025996],[127.04478173,37.47012819],[127.0444447,37.47004704],[127.04409419,37.47001965],[127.04374369,37.47004704],[127.04340665,37.47012819],[127.04309604,37.47025996],[127.04282378,37.47043729],[127.04260035,37.47065337],[127.04243432,37.47089989],[127.04233208,37.47116739],[127.04229756,37.47144557],[127.04233208,37.47172375],[127.04243432,37.47199124],[127.04260035,37.47223775],[127.04282378,37.47245383],[127.04309604,37.47263116],[127.04340665,37.47276292],[127.04374369,37.47284406],[127.04409419,37.47287146],[127.0444447,37.47284406],[127.04478173,37.47276292],[127.04509235,37.47263116],[127.0453646,37.47245383],[127.04558804,37.47223775],[127.04575406,37.47199124],[127.0458563,37.47172375],[127.04589082,37.47144557]]]}"
102,1168011800,11680001,2016,강남구,서울특별시 강남구 도곡동(경남아파트 부근),4,4,0,4,0,0,37.48787237,127.0398377,"{""type"":""Polygon"",""coordinates"":[[[127.04163436,37.48787237],[127.04159984,37.48759425],[127.0414976,37.48732682],[127.04133158,37.48708035],[127.04110814,37.48686432],[127.04083589,37.48668702],[127.04052527,37.48655528],[127.04018824,37.48647416],[127.03983773,37.48644676],[127.03948723,37.48647416],[127.03915019,37.48655528],[127.03883958,37.48668702],[127.03856732,37.48686432],[127.03834389,37.48708035],[127.03817786,37.48732682],[127.03807562,37.48759425],[127.0380411,37.48787237],[127.03807562,37.48815049],[127.03817786,37.48841792],[127.03834389,37.48866438],[127.03856732,37.48888041],[127.03883958,37.4890577],[127.03915019,37.48918944],[127.03948723,37.48927056],[127.03983773,37.48929795],[127.04018824,37.48927056],[127.04052527,37.48918944],[127.04083589,37.4890577],[127.04110814,37.48888041],[127.04133158,37.48866438],[127.0414976,37.48841792],[127.04159984,37.48815049],[127.04163436,37.48787237]]]}"
103,1174010100,11740001,2016,강동구,서울특별시 강동구 명일동(명일동사무소 부근),3,4,0,2,2,0,37.55007096,127.14667060000001,"{""type"":""Polygon"",""coordinates"":[[[127.1484672,37.55007096],[127.14843268,37.54979307],[127.14833044,37.54952586],[127.14816441,37.5492796],[127.14794098,37.54906375],[127.14766872,37.5488866],[127.14735811,37.54875497],[127.14702108,37.54867391],[127.14667057,37.54864654],[127.14632006,37.54867391],[127.14598303,37.54875497],[127.14567242,37.5488866],[127.14540016,37.54906375],[127.14517673,37.5492796],[127.1450107,37.54952586],[127.14490846,37.54979307],[127.14487394,37.55007096],[127.14490846,37.55034885],[127.1450107,37.55061606],[127.14517673,37.55086232],[127.14540016,37.55107816],[127.14567242,37.5512553],[127.14598303,37.55138693],[127.14632006,37.55146799],[127.14667057,37.55149536],[127.14702108,37.55146799],[127.14735811,37.55138693],[127.14766872,37.5512553],[127.14794098,37.55107816],[127.14816441,37.55086232],[127.14833044,37.55061606],[127.14843268,37.55034885],[127.1484672,37.55007096]]]}"
104,1174010800,11740002,2016,강동구,서울특별시 강동구 성내동(강동 삼성아파트 부근),3,4,0,0,4,0,37.53179047,127.12586340000001,"{""type"":""Polygon"",""coordinates"":[[[127.12766001,37.53179047],[127.12762548,37.53151252],[127.12752325,37.53124524],[127.12735722,37.53099892],[127.12713378,37.53078301],[127.12686153,37.53060582],[127.12655092,37.53047416],[127.12621388,37.53039308],[127.12586337,37.53036571],[127.12551287,37.53039308],[127.12517583,37.53047416],[127.12486522,37.53060582],[127.12459297,37.53078301],[127.12436953,37.53099892],[127.1242035,37.53124524],[127.12410127,37.53151252],[127.12406674,37.53179047],[127.12410127,37.53206843],[127.1242035,37.5323357],[127.12436953,37.53258202],[127.12459297,37.53279792],[127.12486522,37.53297511],[127.12517583,37.53310677],[127.12551287,37.53318784],[127.12586337,37.53321522],[127.12621388,37.53318784],[127.12655092,37.53310677],[127.12686153,37.53297511],[127.12713378,37.53279792],[127.12735722,37.53258202],[127.12752325,37.5323357],[127.12762548,37.53206843],[127.12766001,37.53179047]]]}"
105,1129013400,11290001,2017,성북구,서울특별시 성북구 길음동(미아초교앞 부근),3,3,0,1,2,0,37.61035661,127.02252859999999,"{""type"":""Polygon"",""coordinates"":[[[127.02432525,37.61035661],[127.02429073,37.61007895],[127.02418849,37.60981196],[127.02402247,37.60956589],[127.02379903,37.60935021],[127.02352678,37.60917321],[127.02321616,37.60904169],[127.02287913,37.60896069],[127.02252862,37.60893335],[127.02217812,37.60896069],[127.02184108,37.60904169],[127.02153047,37.60917321],[127.02125821,37.60935021],[127.02103478,37.60956589],[127.02086875,37.60981196],[127.02076651,37.61007895],[127.02073199,37.61035661],[127.02076651,37.61063428],[127.02086875,37.61090127],[127.02103478,37.61114733],[127.02125821,37.611363],[127.02153047,37.61154],[127.02184108,37.61167152],[127.02217812,37.61175251],[127.02252862,37.61177985],[127.02287913,37.61175251],[127.02321616,37.61167152],[127.02352678,37.61154],[127.02379903,37.611363],[127.02402247,37.61114733],[127.02418849,37.61090127],[127.02429073,37.61063428],[127.02432525,37.61035661]]]}"
106,1130510200,11305001,2017,강북구,서울특별시 강북구 번동(서울북부고용노동지청 부근),3,4,0,1,2,1,37.63524362,127.0346253,"{""type"":""Polygon"",""coordinates"":[[[127.03642197,37.63524362],[127.03638745,37.63496605],[127.03628521,37.63469914],[127.03611918,37.63445316],[127.03589575,37.63423755],[127.03562349,37.63406061],[127.03531288,37.63392913],[127.03497584,37.63384816],[127.03462534,37.63382083],[127.03427483,37.63384816],[127.0339378,37.63392913],[127.03362718,37.63406061],[127.03335493,37.63423755],[127.03313149,37.63445316],[127.03296547,37.63469914],[127.03286323,37.63496605],[127.03282871,37.63524362],[127.03286323,37.63552119],[127.03296547,37.63578809],[127.03313149,37.63603407],[127.03335493,37.63624967],[127.03362718,37.6364266],[127.0339378,37.63655808],[127.03427483,37.63663904],[127.03462534,37.63666638],[127.03497584,37.63663904],[127.03531288,37.63655808],[127.03562349,37.6364266],[127.03589575,37.63624967],[127.03611918,37.63603407],[127.03628521,37.63578809],[127.03638745,37.63552119],[127.03642197,37.63524362]]]}"
107,1130510100,11305002,2017,강북구,서울특별시 강북구 미아동(수유초교 부근),3,3,0,1,2,0,37.63029054,127.0212867,"{""type"":""Polygon"",""coordinates"":[[[127.02308333,37.63029054],[127.02304881,37.63001295],[127.02294657,37.62974603],[127.02278054,37.62950003],[127.02255711,37.62928441],[127.02228485,37.62910746],[127.02197424,37.62897597],[127.0216372,37.62889499],[127.0212867,37.62886765],[127.02093619,37.62889499],[127.02059916,37.62897597],[127.02028854,37.62910746],[127.02001629,37.62928441],[127.01979285,37.62950003],[127.01962683,37.62974603],[127.01952459,37.63001295],[127.01949007,37.63029054],[127.01952459,37.63056813],[127.01962683,37.63083505],[127.01979285,37.63108104],[127.02001629,37.63129666],[127.02028854,37.6314736],[127.02059916,37.63160509],[127.02093619,37.63168606],[127.0212867,37.6317134],[127.0216372,37.63168606],[127.02197424,37.63160509],[127.02228485,37.6314736],[127.02255711,37.63129666],[127.02278054,37.63108104],[127.02294657,37.63083505],[127.02304881,37.63056813],[127.02308333,37.63029054]]]}"
108,1135010600,11350001,2017,노원구,서울특별시 노원구 중계동(중계주공5단지아파트 부근),4,4,0,2,2,0,37.65144758,127.0761229,"{""type"":""Polygon"",""coordinates"":[[[127.07791955,37.65144758],[127.07788502,37.65117007],[127.07778279,37.65090323],[127.07761676,37.6506573],[127.07739333,37.65044174],[127.07712107,37.65026484],[127.07681046,37.65013338],[127.07647342,37.65005244],[127.07612292,37.6500251],[127.07577241,37.65005244],[127.07543537,37.65013338],[127.07512476,37.65026484],[127.07485251,37.65044174],[127.07462907,37.6506573],[127.07446305,37.65090323],[127.07436081,37.65117007],[127.07432629,37.65144758],[127.07436081,37.65172509],[127.07446305,37.65199194],[127.07462907,37.65223786],[127.07485251,37.65245341],[127.07512476,37.65263031],[127.07543537,37.65276176],[127.07577241,37.6528427],[127.07612292,37.65287004],[127.07647342,37.6528427],[127.07681046,37.65276176],[127.07712107,37.65263031],[127.07739333,37.65245341],[127.07761676,37.65223786],[127.07778279,37.65199194],[127.07788502,37.65172509],[127.07791955,37.65144758]]]}"
109,1135010400,11350002,2017,노원구,서울특별시 노원구 하계동(중계그린아파트 부근),3,3,0,1,0,2,37.63928578,127.0642841,"{""type"":""Polygon"",""coordinates"":[[[127.06608078,37.63928578],[127.06604626,37.63900822],[127.06594402,37.63874133],[127.06577799,37.63849536],[127.06555456,37.63827977],[127.0652823,37.63810283],[127.06497169,37.63797136],[127.06463465,37.6378904],[127.06428415,37.63786306],[127.06393364,37.6378904],[127.06359661,37.63797136],[127.06328599,37.63810283],[127.06301374,37.63827977],[127.0627903,37.63849536],[127.06262428,37.63874133],[127.06252204,37.63900822],[127.06248752,37.63928578],[127.06252204,37.63956333],[127.06262428,37.63983022],[127.0627903,37.64007618],[127.06301374,37.64029177],[127.06328599,37.6404687],[127.06359661,37.64060017],[127.06393364,37.64068113],[127.06428415,37.64070846],[127.06463465,37.64068113],[127.06497169,37.64060017],[127.0652823,37.6404687],[127.06555456,37.64029177],[127.06577799,37.64007618],[127.06594402,37.63983022],[127.06604626,37.63956333],[127.06608078,37.63928578]]]}"
110,1150010600,11500001,2017,강서구,서울특별시 강서구 내발산동(우장산공원입구 부근),3,3,0,1,1,1,37.55477165,126.8376128,"{""type"":""Polygon"",""coordinates"":[[[126.83940943,37.55477165],[126.83937491,37.55449378],[126.83927267,37.55422659],[126.83910664,37.55398034],[126.83888321,37.5537645],[126.83861095,37.55358737],[126.83830034,37.55345574],[126.8379633,37.55337469],[126.8376128,37.55334732],[126.83726229,37.55337469],[126.83692526,37.55345574],[126.83661465,37.55358737],[126.83634239,37.5537645],[126.83611896,37.55398034],[126.83595293,37.55422659],[126.83585069,37.55449378],[126.83581617,37.55477165],[126.83585069,37.55504952],[126.83595293,37.55531671],[126.83611896,37.55556296],[126.83634239,37.55577879],[126.83661465,37.55595592],[126.83692526,37.55608754],[126.83726229,37.55616859],[126.8376128,37.55619595],[126.8379633,37.55616859],[126.83830034,37.55608754],[126.83861095,37.55595592],[126.83888321,37.55577879],[126.83910664,37.55556296],[126.83927267,37.55531671],[126.83937491,37.55504952],[126.83940943,37.55477165]]]}"
